ip_morale|Moral
ip_morale_text|Le moral représente la capacité et la motivation des soldats à faire preuve de courage, d'endurance et de discipline nécessaires au combat et à la marche. Il ne faut pas le confondre avec l'humeur des soldats. Des soldats d'élite peuvent se plaindre des rigueurs de la campagne, ce n'est pas pour autant qu'ils se disperseront à la première escarmouche. D'un autre côté, un commandant qui donnerait à ses hommes tout ce qu'ils désirent pourrait découvrir qu'ils sont devenus mous et s'éparpillent à la première escarmouche.^^Le moral a une grande influence sur le comportement d'une armée au combat, il détermine l'ardeur des combattants, et leur tendance à tourner les talons si la bataille venait à mal tourner. Le moral influe également sur la vitesse de marche, une armée démotivée se déplacera moins vite car les hommes seront moins prompts à dépasser leurs limites, ils feront des pauses plus souvent et hésiteront plus longtemps à repartir. Enfin, une armée dont le moral est vraiment bas connaîtra sans doute des désertions.^^Le moral dépend de plusieurs facteurs, dont la plupart relèvent du bon sens. Par exemple, un chef charismatique qui a la réputation de toujours conduire ses hommes à la victoire motivera d'autant plus facilement ces derniers. Celui qui nourrit bien ses subalternes et les paie en temps et en heure montre par là qu'il se préoccupe de leur bien-être, et ses ordres seront donc mieux suivis.^^Un autre facteur, peut-être moins évident, est celui de la cohésion de l'armée. Dans une petite troupe armée, chacun combattra d'autant plus vaillamment qu'il aurait honte de passer pour un couard auprès de ses camarades et de son chef. À l'inverse, dans une grande armée, le commandant a bien moins le temps et l'occasion d'apprendre à connaître ses hommes, et encore moins de les surveiller ou de régler leurs différends. Des batailles régulières sont idéales pour resserrer les liens entre les hommes, alors que de longues périodes de calme engendrent l'ennui et la discorde.^^Le rapport de moral, accessible en cliquant sur le bouton "Rapports", vous indique l'état actuel du moral de vos troupes ainsi que tous les facteurs susceptibles de l'influencer.
ip_economy|Economie
ip_economy_text|Les villes et villages de Westeros et d'Essos ont besoin de toutes sortes de choses pour que leur population soit en bonne santé et productive. Le plus important est bien entendu la nourriture. La culture la plus répandue est celle des céréales, mais les gens sont également friands de viande, de poisson et de fromage. Et préserver la nourriture est aussi important que de la produire, c'est pourquoi le sel est extrêmement recherché. Après la nourriture vient l'habillement, qu'il s'agisse de laine épaisse, de lin léger, ou d'un luxueux velours. Enfin, les gens ont besoin de toutes sortes d'objets, de cuir ou de fer, de poteries, et évidemment d'armes, d'armures et de chevaux pour combattre.^^La plupart des produits agricoles s'obtiennent dans les villages, tandis que dans les villes, les artisans se spécialisent dans la manufacture. Mais tout ne se trouve pas au même endroit, ce qui fait qu'en Westeros et en Essos la clé de la prospérité est le commerce, entre villes et villages d'une part, mais aussi entre les grandes villes.^^Quand le commerce prospère, les marchandises sont abondantes et accessibles, le peuple est heureux et bien portant, et des gens immigrent de toutes parts. Une telle ville produit et consomme alors davantage, et son seigneur s'en voit richement récompensé par les taxes qu'il peut prélever. En revanche, quand le commerce s'essouffle, la population doit aller chercher du travail ailleurs, et l'économie s'en voit appauvrie. Il est donc dans l'intérêt de tout dirigeant de protéger les routes commerciales des bandits et ennemis du royaume. Un marchand futé, toutefois, peut aller rechercher des villes devenues isolées du reste du pays, où il pourra tirer profit des différences de prix.^^Comme les paysans préfèrent en général aller vendre leurs marchandises dans les villes, les marchés de villages sont des endroits tranquilles où les villageois achètent bon marché et vendent cher. Les marchands sérieux iront directement en ville pour réaliser des profits, même s'il arrive parfois de faire un court arrêt dans un village pour quelques achats.^^Pour obtenir des informations sur l'économie d'une région, le plus simple est de s'adresser à un maître de Guilde dans une ville. D'autres informations peuvent être glanées auprès des passants, mais il faut garder à l'esprit qu'ils ne connaîtront probablement pas grand chose à tout ce qui ne concerne pas leurs occupations habituelles.
ip_courtship|Relations de séduction
ip_courtship_text|Les joueurs peuvent souhaiter se marier avec un membre d'une noble famille de Westeros et Essos. Le mariage n'est pas nécessaire pour monter en puissance et en stature, mais il fournit l'occasion d'améliorer les relations avec les seigneurs et d'établir une revendication au trône.^^Les exigences en matière de mariage seront différentes pour les hommes et les femmes. Un personnage masculin devra généralement suivre une voie traditionnelle. Il doit établir une réputation dans la société aristocratique, s'entendre bien avec les parents ou les tuteurs de sa fiancée, puis courtiser la dame selon la coutume locale. Si un joueur s'impatiente, il peut essayer de prendre un raccourci - mais il y aura des conséquences dans ses relations avec les autres seigneurs.Un personnage masculin ne doit pas oublier que les autres seigneurs seront sans doute en compétition avec lui pour gagner l'affection des dames du royaume.De plus, les goûts d'une Dame sont en général imprévisibles, et il est donc possible que la dame de son coeur ne l'apprécie pas. Les romances, à Westeros et Essos comme ailleurs, ne sont pas toujours payées de retour. Bien entendu, il est possible de gagner le coeur d'une Dame en faisant fi des bonnes manières, mais encore une fois, cela peut avoir un sérieux impact sur votre réputation.^^Avant d'entamer la moindre cour, il vaut donc mieux s'impliquer dans la vie sociale de l'aristocratie, en participant aux fêtes et aux tournois. De plus, les ménestrels itinérants peuvent vous être très utiles dans ce genre d'entreprise, et vous tenir au courant des derniers commérages de la noblesse.^^Les personnages féminins peuvent également chercher à se marier, mais elles doivent garder à l'esprit que dans la société très traditionnelle qu'est celle de Westeros et d'Essos, choisir le chemin de l'aventure est très mal vu. Une telle femme doit donc avant tout trouver un homme suffisamment ouvert d'esprit pour accepter de l'épouser.^^ D'un autre côté, une femme n'a pas besoin de respecter de fastidieux rituels de cour, et peut tirer d'un mariage un profit bien plus important que son équivalent masculin. Pour une aventurière, le mariage peut constituer une façon rapide de s'élever dans la société, et d'ailleurs un personnage peu scrupuleux peut être capable d'utiliser son mari comme un simple tremplin pour ses ambitions politiques.
ip_politics|Politique
ip_politics_text|Les factions de Westeros et d'Essos, bien qu'étant de cultures fort différentes, ont tous adopté le même système politique: le système féodal. Cette féodalité est basée sur les relations entre individus où des vassaux font serment d'allégeance à un suzerain. En échange de cette allégeance, un suzerain accorde habituellement à son vassal un fief, parcelle de terre dont le vassal tire des revenus destinés en général à lever des troupes pour assister son suzerain en temps de guerre. Un suzerain a bien entendu l'obligation de protéger ses vassaux, et de les traiter dignement.^^Voila pour la théorie. Dans les faits, les vassaux rechignent parfois à servir les intérêts de leur faction, en particulier lorsqu'ils ont pris querelle contre un autre seigneur. Les nobles ont souvent de fortes personnalités, et parfois ces personnalités s'opposent. Il arrive aussi que deux seigneurs soient amis, mais que leur amitié prenne fin des suites d'une défaite militaire, d'un jeu qui tourne mal, ou lorsqu'ils désirent la même femme. La jalousie est souvent de la partie lorsqu'il s'agit des faveurs du souverain, et les désaccords surviennent fréquemment lors du partage des conquêtes ou du choix du maréchal, l'homme qui mène les campagnes militaires.^^Lorsque l'une des factions de Westeros et Essos fait la guerre à une autre, l'union politique au sein de celui-ci est aussi importante que la bravoure de ses soldats. Dans une faction soudée, les nobles ne prêteront plus facilement assistance mutuellement, et lutteront unis contre l'ennemi. Dans une faction divisée par les querelles intestines, les différents seigneurs tarderont à obéir aux ordres du maréchal, voire abandonneront la campagne pour aller vaquer à leurs propres affaires si celles-ci tournent mal. Mais une union politique est également importante en temps de paix. Une faction divisée sera en proie au chaos, car les nobles refuseront de venir en aide à leurs voisins, et n'organiseront plus de patrouilles pour lutter contre les brigands.^^Même s'il vous semble stupide que les nobles se querellent lorsque l'ennemi se profile à l'horizon, gardez à l'esprit qu'en réalité la loyauté d'un noble va d'abord à lui-même et sa à famille avant d'aller à sa faction ou sa culture. Si un noble se rend compte que sa faction court à sa perte, ou s'il est lésé par son suzerain, il peut facilement trouver une raison de rompre son serment et changer de camp. Gardez cela à l'esprit, et vous pourriez découvrir qu'il y a des opportunités pour transformer des ennemis jurés mécontents en alliés fidèles.
ip_character_backgrounds|Histoire des personnages
ip_character_backgrounds_text|Un personnage dans Westeros et Essos peut choisir de nombreux antécédents sociaux. Ces choix n'ont pas seulement une influence sur ses capacités et son équipement de départ, mais également sur son parcours en tant qu'aventurier.^^La guerre et la politique en Westeros et Essos sont généralement dominées par les aristocrates masculins. Un personnage noble peut s'apercevoir qu'il est rapidement invité dans un "club des anciens", alors que les femmes et les roturiers risquent de rencontrer quelques obstacles supplémentaires sur leur chemin. Si vous commencez le jeu en tant que jeune homme de noble famille, vous aurez raison de penser que c'est le personnage "facile". Commencer en tant que jeune fille noble ou homme du peuple est un peu plus difficile, et jouer une femme du peuple encore davantage.^^Cependant, jouer une femme n'a pas que des inconvénients. Une guerrière attirera forcément davantage l'attention qu'un guerrier, et sa réputation pourra donc croître plus rapidement. De plus, il est en général plus facile à une femme de s'élever socialement, le mariage lui étant souvent plus rentable qu'à un homme.^^Pour terminer, sachez que le jeu n'établit aucune limite sur les possibilités d'ascension d'un personnage selon ses antécédents. Noble ou du peuple, femme ou homme, marié ou pas, chacun peut s'élever et devenir le maître de tout Westeros et Essos pourvu qu'elle ou il fasse preuve de suffisamment de courage, de chance ou d'ingéniosité
ip_military_campaigns|Campagnes militaires
